workerid,proliferate.condition,time_in_minutes,error
945,norming,2.528466666666666,
963,norming,2.8763666666666667,
926,norming,3.8544666666666663,
964,norming,3.4181333333333335,
918,norming,2.5223833333333334,
952,norming,2.9077333333333333,
955,norming,1.8442,
946,norming,1.9872166666666664,
949,norming,2.26325,
954,norming,5.2131,
965,norming,2.6348666666666665,
939,norming,3.708083333333333,
943,norming,4.7798,
927,norming,2.8167833333333334,
944,norming,3.4031333333333333,
917,norming,2.7892333333333332,
958,norming,5.6280166666666664,
961,norming,3.9316,
921,norming,2.3547666666666665,
962,norming,3.4410666666666665,
922,norming,2.8352166666666667,
937,norming,2.260883333333333,
932,norming,4.384083333333334,
930,norming,3.4694666666666665,
928,norming,2.0016666666666665,
934,norming,2.897683333333333,
916,norming,2.8201666666666667,
940,norming,2.304683333333333,
925,norming,3.246266666666666,
920,norming,3.1325666666666665,
924,norming,2.024466666666666,
966,norming,3.1110166666666665,
953,norming,5.36345,
950,norming,3.098516666666667,
956,norming,3.9016333333333337,
941,norming,2.291,
935,norming,2.6440333333333332,
923,norming,4.2716666666666665,
959,norming,3.3113333333333332,
960,norming,3.34585,
942,norming,3.3445666666666667,
948,norming,4.349033333333334,
919,norming,2.357683333333333,
938,norming,3.0137,
929,norming,3.318433333333333,
947,norming,1.813683333333333,
933,norming,3.167666666666667,
957,norming,3.9610333333333334,
967,norming,6.585533333333333,
951,norming,2.13765,
