workerid,proliferate.condition,A_Age,A_aggressive,A_agree,A_control,A_dismissive,A_engaged,A_face,A_feel_int,A_friendly,A_incharge,A_int,A_listened,A_try_int,B_age,B_aggressive,B_agree,B_control,B_dismissive,B_engaged,B_face,B_feel_int,B_friendly,B_incharge,B_int,B_listened,B_try_int,extra_thoughts,gender_competitive,gender_competitive_score,gender_interrupted,gender_interrupted_score,gender_interrupter,gender_interrupter_score,gender_listener,gender_listener_score,gender_polite,gender_polite_score,get_along,int_race,int_sex,interruption_style,m_race,race_competitive,race_competitive_score,race_interrupted,race_interrupted_score,race_interrupter,race_interrupter_score,race_listener,race_listener_score,race_polite,race_polite_score,speaker_A,speaker_B,error
975,pilot,23,12,57,30,25,54,stims/face_stims/bffaces/bfFace3.png,47,73,42,60,38,40,23,12,49,43,71,40,stims/face_stims/wmfaces/wFace9.png,53,73,58,60,54,42,Jack seems to be more connected to the friends they're meeting up with since he knew about the car trouble thing.,Men,3,Women,3,Men,3,Women,3,Women,3,69,Black,Female,agreeable,White,Women,3,Women,3,Men,3,Women,3,Women,3,Jada,Jack,
974,pilot,22,8,35,84,96,28,stims/face_stims/bffaces/bfFace4.png,4,92,61,83,94,96,22,8,93,72,8,95,stims/face_stims/wmfaces/wFace1.png,95,92,39,86,14,2,No,,1,Men,1,Women,5,Women,5,,1,89,Black,Female,interruptive,White,Women,5,Women,5,Men,1,Women,4,Women,4,Latoya,Cody,
977,pilot,28,19,44,80,30,64,stims/face_stims/bmfaces/bFace6.png,0,51,85,62,75,100,25,19,63,13,79,64,stims/face_stims/wffaces/fFace1.png,100,69,15,62,25,0,,,3,,3,,3,,3,,3,53,Black,Male,interruptive,Black,,3,,3,,3,,3,,3,Lamont,Samantha,
976,pilot,25,2,71,7,14,72,stims/face_stims/wffaces/fFace1.png,8,80,72,52,79,0,21,3,70,9,13,66,stims/face_stims/wmfaces/wFace4.png,9,71,28,54,81,0,,Men,3,Women,3,Men,3,Women,3,Women,3,73,White,Female,agreeable,White,Men,3,Men,3,Men,3,Women,3,Women,3,Anne,Dustin,
973,pilot,24,8,84,51,0,100,stims/face_stims/wffaces/fFace2.png,0,81,44,67,100,0,25,12,78,52,0,100,stims/face_stims/wmfaces/wFace2.png,0,83,56,65,100,0,,Men,3,,3,Men,3,Women,3,Women,3,99,White,Female,agreeable,White,Women,3,Men,3,Men,3,Women,3,Women,3,Allison,Dylan,
